city,year,JamsDelay,TrafficIndexLive,JamsLengthInKms,JamsCount,MinsDelay,TravelTimeLivePer10KmsMins,city_gdp_capita,unemployment_pct,population
belo-horizonte,2024,263.04787931788366,19.428946217752515,44.03812855268907,68.80542195015303,0.4872275360037778,18.30453814854745,11124.0,9.5,6100000.0
bogota,2024,1141.5523642732041,37.614273204903675,140.89356392294243,230.56654991243434,1.6996284237494024,24.99218531844917,11442.0,10.0,11300000.0
brasilia,2024,101.57632617273147,11.258220078912757,18.337132836475213,27.28014028934678,0.1934421559877342,13.338658187159728,16251.0,7.8,4800000.0
buenos-aires,2024,571.0895933537382,17.75601224311325,100.28784433756014,137.35986007870574,0.41656646170772604,17.907915659200086,18117.0,7.2,15400000.0
curitiba,2024,183.46927447552432,14.954545454545455,30.0500437062937,46.89816433566433,0.13996459672844222,17.258700416746272,12381.0,8.2,3700000.0
fortaleza,2024,82.81318101933213,15.896748681898067,11.205843585237279,24.64499121265378,0.0816177475203336,19.267171496002668,8512.0,11.8,4200000.0
lima,2024,1052.2927888792358,31.031277150304085,110.31476976542145,213.4535186794092,1.506304510304872,25.674260588392617,13472.0,6.5,11200000.0
mexico-city,2024,2833.0578924355077,34.21818976825536,389.2392654132046,594.969392216878,1.8555424236133564,21.80909246041582,21111.0,3.2,22100000.0
montevideo,2024,50.2010921799912,17.01485364788117,6.369200524246402,14.160332022717343,0.3934420136382757,18.892342279198207,26176.0,8.4,1800000.0
porto-alegre,2024,139.3828296101621,17.68725361366623,20.167849321068786,39.813403416557165,0.19419456468503604,16.166684319293026,11801.0,8.7,4300000.0
recife,2024,112.75555069930087,21.555944055944057,16.8854895104895,33.22115384615385,0.07253879036529949,20.10156890188669,9189.0,11.2,4099999.9999999995
rio-de-janeiro,2024,466.06470588235203,25.16296296296296,85.01511982570794,123.89193899782136,0.3613022575932048,17.137320045767073,13349.0,9.2,13700000.0
salvador,2024,86.40000000000002,20.928727590730215,13.17044162658504,25.23524267599475,0.11581062763269719,16.831620342063747,8899.0,12.4,3900000.0
santiago,2024,629.8653176675361,20.155352480417754,93.48912097476068,153.0953002610966,0.6274451728168534,17.03130951450782,2277.0,7.8,7100000.0
sao-paulo,2024,1729.189270199824,26.877932232841008,238.41989574283247,431.4704604691573,1.129025667445178,20.80183582904747,14703.0,8.5,22600000.0
